[06-Oct-2013 19:16:18 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\Listpro.php on line 18
[20-Nov-2013 10:50:29 Asia/Taipei] PHP Parse error:  syntax error, unexpected '$updateiterms' (T_VARIABLE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 894
[20-Nov-2013 10:50:48 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';', expecting ']' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 894
[20-Nov-2013 14:53:06 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 983
[20-Nov-2013 16:05:49 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:06:21 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:08:06 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:08:17 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:08:38 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:09:15 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:09:37 Asia/Taipei] PHP Parse error:  syntax error, unexpected ']', expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:10:03 Asia/Taipei] PHP Parse error:  syntax error, unexpected ']', expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 92
[20-Nov-2013 16:16:46 Asia/Taipei] PHP Fatal error:  Call to undefined function open() in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 102
[20-Nov-2013 16:32:04 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 94
[20-Nov-2013 21:52:20 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'Telephonebook' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 386
[20-Nov-2013 21:54:39 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 390
[20-Nov-2013 22:18:07 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 274
[20-Nov-2013 22:19:26 Asia/Taipei] PHP Parse error:  syntax error, unexpected '$conn' (T_VARIABLE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 231
[20-Nov-2013 22:31:03 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 262
[20-Nov-2013 22:43:52 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 618
[20-Nov-2013 22:45:31 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 274
[20-Nov-2013 22:45:51 Asia/Taipei] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 274
[20-Nov-2013 22:53:08 Asia/Taipei] PHP Parse error:  syntax error, unexpected '1' (T_LNUMBER), expecting ']' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 277
[20-Nov-2013 23:07:54 Asia/Taipei] PHP Parse error:  syntax error, unexpected '1' (T_LNUMBER) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 302
[20-Nov-2013 23:08:05 Asia/Taipei] PHP Warning:  printf(): Too few arguments in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 303
[20-Nov-2013 23:08:05 Asia/Taipei] PHP Warning:  printf(): Too few arguments in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 303
[20-Nov-2013 23:08:05 Asia/Taipei] PHP Warning:  printf(): Too few arguments in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 303
[20-Nov-2013 23:08:05 Asia/Taipei] PHP Warning:  printf(): Too few arguments in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 303
[21-Nov-2013 07:51:45 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110446_0_1384606751.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[21-Nov-2013 08:26:28 Asia/Taipei] PHP Fatal error:  Call to a member function operate() on a non-object in D:\PHP\TWAMPd\htdocs\libraryDevelop\Expressions.php on line 70
[21-Nov-2013 08:35:36 Asia/Taipei] PHP Fatal error:  Call to a member function operate() on a non-object in D:\PHP\TWAMPd\htdocs\libraryDevelop\Expressions.php on line 70
[21-Nov-2013 09:35:37 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 283
[21-Nov-2013 09:45:16 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 254
[21-Nov-2013 09:46:13 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 254
[21-Nov-2013 09:46:58 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 254
[21-Nov-2013 10:18:36 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 301
[21-Nov-2013 23:54:57 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user 'lgh'@'localhost' (using password: YES) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[21-Nov-2013 23:55:17 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user 'lgh'@'localhost' (using password: YES) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 00:07:43 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 02:17:22 Asia/Taipei] PHP Warning:  mysql_connect(): Access denied for user 'lgh'@'localhost' (using password: YES) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 02:17:43 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 02:17:49 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 02:17:52 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 02:17:56 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 02:18:00 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[22-Nov-2013 11:28:27 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\checklogin.php on line 11
[24-Nov-2013 07:18:40 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[24-Nov-2013 07:18:49 Asia/Taipei] PHP Warning:  mysql_connect():  in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 592
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_0_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_1_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_2_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_3_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_4_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_5_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_6_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_7_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_8_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_9_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_10_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_11_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_12_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_13_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_14_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_15_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_16_1386868680.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_17_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_18_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_19_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_20_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_21_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_22_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_23_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_24_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_25_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_26_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_27_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[25-Dec-2013 22:09:00 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-12/AdditermData/1792_28_1386868681.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[26-Dec-2013 11:10:32 Asia/Taipei] PHP Parse error:  syntax error, unexpected '"</div></th>"' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 1050
[26-Dec-2013 11:22:52 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'table_html_tail' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 1018
[26-Dec-2013 11:23:32 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'table_html_tail' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 1018
[26-Dec-2013 11:23:41 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'table_html_tail' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 1018
[26-Dec-2013 11:24:03 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'table_html_tail' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 1018
[26-Dec-2013 17:09:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected '"\n"' (T_CONSTANT_ENCAPSED_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 329
[26-Dec-2013 17:09:48 Asia/Taipei] PHP Parse error:  syntax error, unexpected '"\n"' (T_CONSTANT_ENCAPSED_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 329
[26-Mar-2014 05:14:37 Asia/Taipei] PHP Warning:  unlink(frank_lgh/201403/AdditermData/110809_0_1395781971.PNG): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 186
